Transcript_ID,Gene_ID
mRNA1,mRNA1
mRNA2,mRNA2
mRNA3,mRNA3
mRNA4,mRNA4
mRNA5,mRNA5
mRNA6,mRNA6
mRNA7,mRNA7
mRNA8,mRNA8
mRNA9,mRNA9
mRNA10,mRNA10
mRNA11,mRNA11
mRNA12,mRNA12
mRNA13,mRNA13
mRNA14,mRNA14
mRNA15,mRNA15
mRNA16,mRNA16
mRNA17,mRNA17
mRNA18,mRNA18
mRNA19,mRNA19
mRNA20,mRNA20
mRNA21,mRNA21
mRNA22,mRNA22
mRNA23,mRNA23
mRNA24,mRNA24
mRNA25,mRNA25
mRNA26,mRNA26
mRNA27,mRNA27
mRNA28,mRNA28
mRNA29,mRNA29
mRNA30,mRNA30
mRNA31,mRNA31
mRNA32,mRNA32
mRNA33,mRNA33
mRNA34,mRNA34
mRNA35,mRNA35
mRNA36,mRNA36
mRNA37,mRNA37
mRNA38,mRNA38
mRNA39,mRNA39
mRNA40,mRNA40
mRNA41,mRNA41
mRNA42,mRNA42
mRNA43,mRNA43
mRNA44,mRNA44
mRNA45,mRNA45
mRNA46,mRNA46
mRNA47,mRNA47
mRNA48,mRNA48
mRNA49,mRNA49
mRNA50,mRNA50
mRNA51,mRNA51
mRNA52,mRNA52
mRNA53,mRNA53
mRNA54,mRNA54
mRNA55,mRNA55
mRNA56,mRNA56
mRNA57,mRNA57
mRNA58,mRNA58
mRNA59,mRNA59
mRNA60,mRNA60
mRNA61,mRNA61
mRNA62,mRNA62
mRNA63,mRNA63
mRNA64,mRNA64
mRNA65,mRNA65
mRNA66,mRNA66
mRNA67,mRNA67
mRNA68,mRNA68
mRNA69,mRNA69
mRNA70,mRNA70
mRNA71,mRNA71
mRNA72,mRNA72
mRNA73,mRNA73
mRNA74,mRNA74
mRNA75,mRNA75
mRNA76,mRNA76
mRNA77,mRNA77
mRNA78,mRNA78
mRNA79,mRNA79
mRNA80,mRNA80
mRNA81,mRNA81
mRNA82,mRNA82
mRNA83,mRNA83
mRNA84,mRNA84
mRNA85,mRNA85
mRNA86,mRNA86
mRNA87,mRNA87
mRNA88,mRNA88
mRNA89,mRNA89
mRNA90,mRNA90
mRNA91,mRNA91
mRNA92,mRNA92
mRNA93,mRNA93
mRNA94,mRNA94
mRNA95,mRNA95
mRNA96,mRNA96
mRNA97,mRNA97
mRNA98,mRNA98
mRNA99,mRNA99
mRNA100,mRNA100
mRNA101,mRNA101
mRNA102,mRNA102
mRNA103,mRNA103
mRNA104,mRNA104
mRNA105,mRNA105
mRNA106,mRNA106
mRNA107,mRNA107
mRNA108,mRNA108
mRNA109,mRNA109
mRNA110,mRNA110
mRNA111,mRNA111
mRNA112,mRNA112
mRNA113,mRNA113
mRNA114,mRNA114
mRNA115,mRNA115
mRNA116,mRNA116
mRNA117,mRNA117
mRNA118,mRNA118
mRNA119,mRNA119
mRNA120,mRNA120
