column1	column2
gene2	GO:0005634
gene3	GO:0005515
gene4	GO:0004252, GO:0006508
gene5	GO:0000813, GO:0003676, GO:0032403, GO:0043328
gene7	GO:0005783, GO:0016021, GO:0005220, GO:0048016, GO:0070588
gene9	GO:0046983
gene10	GO:0016772, GO:0008152
gene11	GO:0005515
gene12	GO:0006914
gene13	GO:0008440
gene14	GO:0016021, GO:0055085
gene15	GO:0005965, GO:0003824, GO:0018343, GO:0042127
gene18	GO:0005515, GO:0008270
gene19	GO:0005515
gene22	GO:0005515
gene23	GO:0005085, GO:0043087
gene24	GO:0005515
gene26	GO:0004672, GO:0005524, GO:0006468
gene28	GO:0005515
gene30	GO:0005634, GO:0048024
gene33	GO:0005515
gene36	GO:0003700, GO:0043565, GO:0006357, GO:0005667, GO:0045449
gene37	GO:0005634, GO:0005667, GO:0005737, GO:0003700, GO:0046983, GO:0006355, GO:0045449
gene38	GO:0008270
gene39	GO:0000276, GO:0015078, GO:0015986
gene40	GO:0043565, GO:0006355
gene45	GO:0045239, GO:0004333, GO:0006106, GO:0019643
gene46	GO:0005885, GO:0005524, GO:0034314
gene47	GO:0005509
gene48	GO:0003876, GO:0032264, GO:0006144
gene53	GO:0005515
gene54	GO:0005515
gene55	GO:0005634, GO:0003700, GO:0008270, GO:0006355, GO:0005667, GO:0045449
gene57	GO:0016020, GO:0005247, GO:0006821, GO:0055085
gene64	GO:0016717, GO:0006629, GO:0055114
gene67	GO:0003723, GO:0005515
gene68	GO:0004703, GO:0005524, GO:0006468, GO:0007165, GO:0009069
gene69	GO:0000166, GO:0003676, GO:0008270
gene75	GO:0003677, GO:0005524, GO:0008094, GO:0006281
gene77	GO:0005634, GO:0003700, GO:0006355, GO:0005667, GO:0045449
gene78	GO:0003700, GO:0043565, GO:0006355, GO:0005667, GO:0045449
gene79	GO:0042254
gene80	GO:0005509, GO:0005515
gene82	GO:0000166, GO:0003676
gene83	GO:0005515, GO:0008270
gene84	GO:0044428, GO:0005488
gene85	GO:0005669, GO:0045893
gene87	GO:0004842, GO:0005515, GO:0016567
gene88	GO:0003682, GO:0006338, GO:0006355, GO:0000785
gene89	GO:0005515
gene90	GO:0004842, GO:0016567
gene91	GO:0004722, GO:0006470, GO:0008287
gene93	GO:0008318, GO:0018342, GO:0018346
gene96	GO:0003824
gene97	GO:0005840, GO:0003735, GO:0006412, GO:0042254
gene99	GO:0004553, GO:0005975
gene100	GO:0043565, GO:0006355
gene102	GO:0005515, GO:0008191
gene103	GO:0005515
gene104	GO:0004672, GO:0005524, GO:0006468
gene107	GO:0000786, GO:0005634, GO:0003677, GO:0046982
gene108	GO:0000786, GO:0005634, GO:0003677, GO:0046982
gene110	GO:0016021, GO:0004930, GO:0007186
gene111	GO:0008021, GO:0003824, GO:0005524, GO:0007269
gene113	GO:0005744, GO:0016021, GO:0015450, GO:0006626, GO:0071806, GO:0009941
gene114	GO:0046872
gene115	GO:0005739, GO:0016021, GO:0006626
gene116	GO:0005891, GO:0005216, GO:0005246, GO:0051924, GO:0070588
gene118	GO:0016491, GO:0055114
gene119	GO:0016491, GO:0008152
gene120	GO:0005515
gene121	GO:0005840, GO:0003735, GO:0006412, GO:0042254
gene123	GO:0016021, GO:0055085
gene127	GO:0003682, GO:0000785
gene128	GO:0003677, GO:0003899, GO:0008270, GO:0006351, GO:0005730, GO:0006144, GO:0006206
gene129	GO:0005634, GO:0030915, GO:0006281
gene130	GO:0003779, GO:0031032
gene131	GO:0016020
gene132	GO:0005488, GO:0008124, GO:0006729
gene133	GO:0016020, GO:0005215, GO:0005515, GO:0006810
gene136	GO:0003677, GO:0005515
gene137	GO:0070492
gene138	GO:0032440, GO:0055114
gene140	GO:0005509, GO:0005515
gene142	GO:0005488
gene143	GO:0003824, GO:0051536
gene144	GO:0003723, GO:0008757, GO:0006364
gene147	GO:0005871, GO:0003777, GO:0005524, GO:0008017, GO:0007018, GO:0005874, GO:0045298
gene148	GO:0005737, GO:0005524, GO:0030272, GO:0046872, GO:0046653
gene150	GO:0005515
gene154	GO:0005871, GO:0003777, GO:0005524, GO:0008017, GO:0007018, GO:0005874, GO:0045298
gene155	GO:0005488
gene157	GO:0008270
gene158	GO:0022627, GO:0003735, GO:0006412, GO:0042254
gene160	GO:0016021, GO:0008324, GO:0006812, GO:0055085
gene161	GO:0003676, GO:0046872
gene162	GO:0004181, GO:0008270, GO:0006508
gene163	GO:0005515
gene164	GO:0004181, GO:0008270, GO:0006508
gene165	GO:0004435, GO:0005509, GO:0005515, GO:0035556, GO:0007242, GO:0009395, GO:0046339
gene168	GO:0005515
gene169	GO:0005509, GO:0005515
gene170	GO:0005515
gene171	GO:0005515
gene172	GO:0004252, GO:0006508
gene174	GO:0003874, GO:0006729, GO:0046656
gene175	GO:0042302
gene176	GO:0016021, GO:0005230, GO:0006811
gene177	GO:0005515
gene178	GO:0016020, GO:0046873, GO:0030001, GO:0055085
gene183	GO:0030176, GO:0047874, GO:0006487, GO:0008610
gene184	GO:0007165
gene185	GO:0005773, GO:0006624
gene186	GO:0005515, GO:0008270
gene187	GO:0005634, GO:0003700, GO:0003707, GO:0008270, GO:0043565, GO:0006355, GO:0043401, GO:0005667, GO:0045449
gene189	GO:0004594, GO:0005524, GO:0015937, GO:0015940
gene190	GO:0000178, GO:0000228, GO:0005654, GO:0005730, GO:0003723, GO:0000956, GO:0016072, GO:0071027
gene193	GO:0005634, GO:0003677
gene194	GO:0016021
gene195	GO:0004672, GO:0005524, GO:0006468
gene196	GO:0005634, GO:0008081, GO:0006281
gene197	GO:0000166, GO:0003676
gene199	GO:0005515
gene200	GO:0016021, GO:0004983, GO:0007187, GO:0007268
gene201	GO:0005681, GO:0030374, GO:0008380, GO:2000273, GO:0005667, GO:0045941
gene202	GO:0042302
gene205	GO:0042302
gene206	GO:0042302
gene207	GO:0005515
gene208	GO:0005544, GO:0017137, GO:0006886, GO:0006887
gene214	GO:0042302
gene216	GO:0016021, GO:0019835
gene221	GO:0042302
gene222	GO:0016020, GO:0005515
gene224	GO:0003676
gene225	GO:0005634, GO:0003677, GO:0003707, GO:0004879, GO:0006355, GO:0043401
gene228	GO:0005576, GO:0004568, GO:0008061, GO:0005975, GO:0006032, GO:0016998
gene230	GO:0005515, GO:0007165, GO:0042981
gene234	GO:0005576, GO:0008061, GO:0006030
gene235	GO:0005576, GO:0008061, GO:0006030
gene242	GO:0016021, GO:0005328, GO:0006836, GO:0006812
gene247	GO:0003824, GO:0050662
gene248	GO:0016021, GO:0005215, GO:0005524, GO:0016887, GO:0006810
gene249	GO:0005515
gene250	GO:0000922, GO:0005815, GO:0000226
gene251	GO:0008410, GO:0046952
gene253	GO:0005871, GO:0003777, GO:0005524, GO:0008017, GO:0007018, GO:0005874, GO:0045298
gene254	GO:0008168
gene255	GO:0055085
gene257	GO:0005634, GO:0005737, GO:0043248
gene258	GO:0016021, GO:0022857, GO:0055085
